name,size,year,absoluteLength,breitengrad,laengengrad
Brunnifirn,26,1968,3655,46734376,8789393
Brunnifirn,26,1969,3648,46734376,8789393
Brunnifirn,26,1970,3648,46734376,8789393
Brunnifirn,26,1971,3625,46734376,8789393
Brunnifirn,26,1972,3613,46734376,8789393
Brunnifirn,26,1973,3663,46734376,8789393
Brunnifirn,26,1974,3648,46734376,8789393
Brunnifirn,26,1975,3610,46734376,8789393
Brunnifirn,26,1976,3584,46734376,8789393
Brunnifirn,26,1977,3584,46734376,8789393
Brunnifirn,26,1978,3633,46734376,8789393
Brunnifirn,26,1979,3593,46734376,8789393
Brunnifirn,26,1980,3586,46734376,8789393
Brunnifirn,26,1981,3586,46734376,8789393
Brunnifirn,26,1982,3586,46734376,8789393
Brunnifirn,26,1983,3536,46734376,8789393
Brunnifirn,26,1984,3536,46734376,8789393
Brunnifirn,26,1985,3536,46734376,8789393
Brunnifirn,26,1986,3536,46734376,8789393
Brunnifirn,26,1987,3536,46734376,8789393
Brunnifirn,26,1988,3536,46734376,8789393
Brunnifirn,26,1989,3536,46734376,8789393
Brunnifirn,26,1990,3536,46734376,8789393
Brunnifirn,26,1991,3536,46734376,8789393
Brunnifirn,26,1992,3536,46734376,8789393
Brunnifirn,26,1993,3536,46734376,8789393
Brunnifirn,26,1994,3536,46734376,8789393
Brunnifirn,26,1995,3536,46734376,8789393
Brunnifirn,26,1996,3536,46734376,8789393
Brunnifirn,26,1997,3527,46734376,8789393
Brunnifirn,26,1998,3527,46734376,8789393
Brunnifirn,26,1999,3527,46734376,8789393
Brunnifirn,26,2000,3527,46734376,8789393
Brunnifirn,26,2001,3527,46734376,8789393
Brunnifirn,26,2002,3527,46734376,8789393
Brunnifirn,26,2003,3520,46734376,8789393
Brunnifirn,26,2004,3520,46734376,8789393
Brunnifirn,26,2005,3520,46734376,8789393
Brunnifirn,26,2006,3520,46734376,8789393
Brunnifirn,26,2007,3520,46734376,8789393
Brunnifirn,26,2008,3520,46734376,8789393
Brunnifirn,26,2009,3515,46734376,8789393
Brunnifirn,26,2010,3515,46734376,8789393
Brunnifirn,26,2011,3515,46734376,8789393
Brunnifirn,26,2012,3515,46734376,8789393
Brunnifirn,26,2013,3515,46734376,8789393
Brunnifirn,26,2014,3511,46734376,8789393
Brunnifirn,26,2015,3507,46734376,8789393
Brunnifirn,26,2016,3506,46734376,8789393
Brunnifirn,26,2017,3505,46734376,8789393
Brunnifirn,26,2018,3399,46734376,8789393
Brunnifirn,26,2019,3293,46734376,8789393
Brunnifirn,26,2020,3186,46734376,8789393
Brunnifirn,26,2021,3080,46734376,8789393
Brunnifirn,26,2022,2974,46734376,8789393
Brunnifirn,26,2023,2868,46734376,8789393
Brunnifirn,26,2024,2762,46734376,8789393
Brunnifirn,26,2025,2655,46734376,8789393
Brunnifirn,26,2026,2549,46734376,8789393
Brunnifirn,26,2027,2443,46734376,8789393
Brunnifirn,26,2028,2337,46734376,8789393
Brunnifirn,26,2029,2230,46734376,8789393
Brunnifirn,26,2030,2124,46734376,8789393
Brunnifirn,26,2031,2018,46734376,8789393
Brunnifirn,26,2032,1912,46734376,8789393
Brunnifirn,26,2033,1806,46734376,8789393
Brunnifirn,26,2034,1699,46734376,8789393
Brunnifirn,26,2035,1593,46734376,8789393
Brunnifirn,26,2036,1487,46734376,8789393
Brunnifirn,26,2037,1381,46734376,8789393
Brunnifirn,26,2038,1275,46734376,8789393
Brunnifirn,26,2039,1168,46734376,8789393
Brunnifirn,26,2040,1062,46734376,8789393
Brunnifirn,26,2041,956,46734376,8789393
Brunnifirn,26,2042,850,46734376,8789393
Brunnifirn,26,2043,743,46734376,8789393
Brunnifirn,26,2044,637,46734376,8789393
Brunnifirn,26,2045,531,46734376,8789393
Brunnifirn,26,2046,425,46734376,8789393
Brunnifirn,26,2047,319,46734376,8789393
Brunnifirn,26,2048,212,46734376,8789393
Brunnifirn,26,2049,106,46734376,8789393
Brunnifirn,26,2050,0,46734376,8789393
Brunnifirn,26,2051,0,46734376,8789393
Brunnifirn,26,2052,0,46734376,8789393
Brunnifirn,26,2053,0,46734376,8789393
Brunnifirn,26,2054,0,46734376,8789393
Brunnifirn,26,2055,0,46734376,8789393
Brunnifirn,26,2056,0,46734376,8789393
Brunnifirn,26,2057,0,46734376,8789393
Brunnifirn,26,2058,0,46734376,8789393
Brunnifirn,26,2059,0,46734376,8789393
Brunnifirn,26,2060,0,46734376,8789393
Brunnifirn,26,2061,0,46734376,8789393
Brunnifirn,26,2062,0,46734376,8789393
Brunnifirn,26,2063,0,46734376,8789393
